title,vacancy_url,salary_from,salary_to,employer,city,requirements
Программист Python/Django,https://hh.ru/vacancy/86309826,,,Граундтек,Минск,"Уверенное знание Python/Django. Работа с БД PostgreSQL, Git, Rest API. Наличие навыков работы JS, HTML и CSS. "
Junior Python Developer,https://hh.ru/vacancy/86297660,1300,,FinSTC Software LLC,Санкт-Петербург,"Базовые: Python. Знания в SQL (MS SQL / PL SQL). Английский (средний, профессиональная терминология). Будет плюсом: Azure. Английский (разговорный). Знание Git. "
Junior Python Developer,https://hh.ru/vacancy/86306225,,,UDV Group,Екатеринбург,"1.Hard skills: Понимание устройства информационных систем и способов их взаимодействия. Знание основ программирования, понимание особенностей функционирования REST API, знание структур..."
Програмист python,https://hh.ru/vacancy/86158210,,,ИТ-Регул,Томск,Знать python. Иметь опыт работы с django.
Начинающий разработчик Python,https://hh.ru/vacancy/86320517,,,SimpleCode,Караганда,"Знали Python (ООП, умение работать с пакетами и модулями, управление зависимостями""Poetry""). Имели базовые знания Git, GitHub или GitLab. "
Python Backend Разработчик,https://hh.ru/vacancy/84973033,400000,600000,Фабрика проектов,Алматы,"Навыки: [Будет плюсом] Знать и понимать, как строится процесс подключения и разработки Telegram ботов. [Будет плюсом] Наличие опыта работы с..."
Backend-Developer Python (junior),https://hh.ru/vacancy/86093868,,,Онлайн-школа Тетрика,Москва,"Python 3.11. Tornado + asyncpg, aiohttp/fastapi/flask (для микросервисов). PostgreSQL, Redis. Docker, k8s. Хорошее знание Python..."
"Python backend разработчик, удалённо",https://hh.ru/vacancy/85784343,100000,250000,ScanFactory,Москва,"Желателен опыт написания юнит- и интеграционных тестов, проектирование REST API, проектирование микросервисов. Опыт с Go - как плюс."
Разработчик Python,https://hh.ru/vacancy/86300318,,,TS Property Management,Алматы,Высшее техническое образование. Опыт разработки ПО на Python от 1 года. Знание систем Airflow и PySpark будет плюсом.
Стажер-разработчик Python,https://hh.ru/vacancy/84826929,,,TerraLink,Москва,"Какие навыки понадобятся: Высшее техническое образование. Рассматриваются также студенты последних курсов, у которых есть возможность работать полный день (по договоренности..."
